Date,Open,High,Low,Close,Volume
07/14/2023,"33.77","34.22","33.58","34.02","80,268"
07/13/2023,"33.70","34.01","33.55","33.96","110,274"
07/12/2023,"34.45","34.73","33.50","33.57","74,459"
07/11/2023,"34.01","34.23","33.86","34.19","96,342"
07/10/2023,"33.67","34.16","33.41","33.92","110,579"
07/07/2023,"33.15","34.13","33.15","33.66","191,102"
07/06/2023,"32.00","33.09","31.88","33.05","76,296"
07/05/2023,"33.15","33.34","32.38","32.48","124,677"
07/03/2023,"32.15","33.19","32.15","33.15","77,928"
06/30/2023,"33.48","33.62","31.66","32.47","226,097"
06/29/2023,"33.25","35.59","33.25","33.76","582,792"
06/28/2023,"27.35","28.14","27.20","28.04","99,203"
06/27/2023,"27.45","27.66","27.06","27.33","81,483"
06/26/2023,"26.96","27.89","26.96","27.40","89,139"
06/23/2023,"27.12","27.51","26.76","27.13","192,410"
06/22/2023,"27.29","27.44","26.94","27.44","44,500"
06/21/2023,"27.40","27.55","27.14","27.48","37,194"
06/20/2023,"27.49","27.67","27.22","27.49","39,095"
06/16/2023,"27.75","28.21","27.34","27.66","129,360"
06/15/2023,"27.10","27.65","26.75","27.65","69,713"
06/14/2023,"27.58","28.10","27.20","27.26","77,290"
